code;country;name
MGO;USA;MARENGO PLANTATION
MID;USA;GLENWOOD PARK AT MIDDLEBURG
MIL;CAN;MILLARVILLE
MLO;CAN;MILO RACE TRACK
MNR;USA;MOUNTAINEER CASINO RACETRACK & RESORT
MOF;USA;MOHAVE COUNTY FAIR
MON;USA;MONKTON
MOR;USA;MORVEN PARK
MPM;USA;MT. PLEASANT MEADOWS
MS ;USA;MILL SPRING
MTH;USA;MONMOUTH PARK
MVR;USA;MAHONING VALLEY RACE COURSE
NMP;USA;NORTHAMPTON
NP ;CAN;NORTHLANDS PARK
NS0;USA;KENTUCKY DOWNS NSA
NVD;USA;NORTHVILLE DOWNS
OKR;USA;OAK RIDGE
ONE;USA;ONEIDA COUNTY FAIR
OP ;USA;OAKLAWN PARK
OSA;USA;OAK TREE AT SANTA ANITA
OTC;USA;OCALA TRAINING CENTER
OTH;USA;OAK TREE AT HOLLYWOOD PARK
OTP;USA;OAK TREE AT PLEASANTON
OXM;USA;OXMOOR
PEN;USA;PENN NATIONAL
PHA;USA;PHILADELPHA PARK
PIC;CAN;PICOV DOWNS
PID;USA;PRESQUE ISLE DOWNS
PIM;USA;PIMLICO
PLN;USA;PLEASANTON
PM ;USA;PORTLAND MEADOWS
PMB;USA;PALM BEACH POLO CLUB
PMT;USA;PINE MTN-CALLAWAY GARDEN
PNL;USA;PINNACLE RACE COURSE
POD;USA;POCATELLO DOWNS
PPK;USA;POMPANO PARK
PPM;USA;PIKES PEAK MEADOWS
PRE;USA;PRESCOTT DOWNS
PRM;USA;PRAIRIE MEADOWS
PRP;USA;PIT RUN PARK
PRV;USA;CROOKED RIVER ROUNDUP
PRX;USA;PARX RACING
PW ;USA;PERCY WARNER
QD ;USA;QUEEN CITY DOWNS (QH TRACK)
RAV;USA;RAVALLI COUNTY FAIR
RB ;USA;RED BANK
RD ;USA;RIVER DOWNS
RDA;CAN;WESTERNER EXH. ASSOC.
RDM;USA;RED MILE
RDP;CAN;RED DEER PARK
RET;USA;RETAMA PARK
RIL;USA;RILLITO
RKM;USA;ROCKINGHAM PARK
RM ;USA;ROSS MEADOWS
ROP;USA;ROUND UP PARK
RP ;USA;REMINGTON PARK
RPD;CAN;ROSSBURN PARKLAND DOWNS
RUI;USA;RUIDOSO DOWNS
RUP;USA;RUPERT DOWNS
SA ;USA;SANTA ANITA PARK
SAC;USA;SACRAMENTO
SAF;USA;GRAHAM COUNTY FAIR @ SAFFORD
SAL;USA;SALEM
SAR;USA;SARATOGA
SDY;USA;SANDY DOWNS
SFE;USA;SANTA FE
SH ;USA;STRAWBERRY HILL
SHW;USA;SHAWAN DOWNS
SJ ;USA;APACHE COUNTY FAIR @ ST. JOHNS
SJD;USA;SAN JUAN DOWNS
SLR;USA;SAN LUIS REY TRAINING CENTER
SND;CAN;SUNFLOWER
SOL;USA;SOLANO
SON;USA;SANTA CRUZ COUNTY FAIR @ SONOITA
SOP;USA;SOUTHERN PINES
SPG;USA;ILLINOIS STATE FAIR
SPT;USA;SPORTSMAN'S PARK
SR ;USA;SANTA ROSA
SRP;USA;SUNRAY PARK
STK;USA;STOCKTON
STL;USA;ST LOUIS
STN;USA;STONEYBROOK AT FIVE POINTS
STP;CAN;STAMPEDE PARK
SUD;USA;SUN DOWNS
SUF;USA;SUFFOLK DOWNS
SUN;USA;SUNLAND PARK
SWF;USA;SWEETWATER DOWNS
TAM;USA;TAMPA BAY DOWNS
TDN;USA;THISTLEDOWN
TGD;USA;TIOGA DOWNS
TIL;USA;TILLAMOOK COUNTY FAIR
TIM;USA;TIMONIUM
TP ;USA;TURFWAY PARK
TRY;USA;TRYON
TS ;CAN;TROUT SPRINGS
TUP;USA;TURF PARADISE
UN ;USA;EASTERN OREGON LIVESTOCK SHOW
UNI;USA;PENNSYLVANIA HUNT CUP
VEG;CAN;VEGRIVILLE AGRICULTURAL SOCIETY
WBR;USA;WEBER DOWNS
WCD;USA;WELLS CO FAIR
WDS;USA;THE WOODLANDS
WIL;USA;WILLOWDALE STEEPLECHASE
WMF;USA;WESTERN MT FAIR
WNT;USA;WINTERTHUR
WO ;CAN;WOODBINE
WPR;USA;WHITE PINE RACEWAY
WRD;USA;WILL ROGERS DOWNS
WTS;USA;WAITSBURG RACE TRACK
WW ;USA;WALLA WALLA
WYO;USA;WYOMING DOWNS
YAV;USA;YAVAPAI DOWNS
YD ;USA;YELLOWSTONE DOWNS
YKT;CAN;YORKTON EXH. ASSOC.
YM ;USA;YAKIMA MEADOWS
YMA;USA;YUMA COUNTY FAIR
ZIA;USA;ZIA PARK
AAL;DEN;AALBORG
AAR;SWI;AARAU
ABB;FR ;ABBEVILLE
ABP;AUS;BELMONT
ABU;UAE;ABU DHABI
ABY;AUS;ALBURY
AC ;ITY;ACQUAPENDENTE
ACH;AUS;CHELTENHAM
ACV;FR ;AGON-COUTAINVILLE
AD ;TUR;ADANA
ADB;AUS;ADAMINABY
ADI;OMN;AL ADIYAT
ADR;AUS;ADELAIDE RIVER
AEP;FR ;AIX-EN-PROVENCE
AFJ;OMN;AL FELAIJ
AGE;FR ;AGEN
AIN;ENG;AINTREE
AJA;FR ;AJACCIO
AL ;ITY;ALBENGA
ALA;UAE;AL AIN
ALD;GER;ALTDORF
ALN;FR ;ALENCON
ALO;GER;ALTOTTING
ALX;AUS;ALEXANDRA
AM ;ITY;AMELIA
AMI;FR ;AMIENS
ANC;AUS;NEWCASTLE
AND;COL;ANDES
ANG;FR ;ANGERS
ANK;TUR;YIL ANKARA
ANT;SPA;ANTELA
APH;AUS;ALPHA
ARA;JPN;ARAO
ARC;AUS;ARAMAC
ARD;AUS;ARDLETHAN
ARG;FR ;ARGENTAN
ARL;SAF;ARLINGTON
ARM;AUS;ARMIDALE
ARR;FR ;ARRAS
ART;AUS;ARARAT
ASC;ENG;ASCOT
ASH;NZ ;ASHBURTON
ASN;AUS;SANDOWN
ASP;NZ ;ASCOT PARK
ASR;AUS;ASCOT
AUC;NZ ;AUCKLAND
AUG;AUS;AUGATHELLA
AUL;FR ;AULLENE
AUR;GTM;LA AURORA
AUT;FR ;AUTEUIL
AVC;AUS;AVOCA SHIRE
AVE;SWI;AVENCHES
AVI;FR ;AVIGNON
AVL;AUS;ADAVALE
AVO;NZ ;AVONDALE
AVR;FR ;AVRANCHES
AWA;NZ ;AWAPUNI
AWP;NZ ;AWAKINO POINT
AYR;ENG;AYR
AZL;ARG;AZUL
BAD;GER;BADEN BADEN
BAH;BHR;RASHID EQUESTRIAN CLUB
BAN;IND;BANGALORE
BAT;ENG;BATH & SOMERSET COUNTY
BAY;FR ;BAYEUX
BBG;AUS;BUNDABERG
BBR;AUS;BUNBURY
BBT;AUS;BURRUMBEET
BBY;FR ;BIARRITZ-BAYONNE
BBZ;FR ;BARBEZIEUX
BCH;AUS;BUCHAN
BCK;AUS;BARROW CREEK
BDA;AUS;BUNDARRA
BDN;AUS;BARADINE
BDR;AUS;BEDOURIE
BDS;AUS;BEAUDESERT
BDW;AUS;BRAIDWOOD
BED;AUS;BEDGERABONG
BEG;AUS;BEGA
BEN;AUS;BENDIGO
BET;AUS;BETOOTA
BEV;ENG;BEVERLEY
BGR;AUS;BINGARA
BH ;GER;BAD-HARZBURG
BIL;GER;BILLIGHEIM
BIN;AUS;BINNAWAY
BIR;ENG;BIRMINGHAM
BKA;AUS;BALAKLAVA
BKL;AUS;BLACKALL
BKT;AUS;BURKETOWN
BLF;AUS;BLUFF
BLI;GER;BLIESKASTEL
BLL;IRE;BELLEWSTOWN
BLN;IRE;BALLINROBE
BLR;AUS;BALRANALD
BNA;AUS;BANANA
BNG;KOR;BUSAN GYEONGNAM
BOD;ENG;BANGOR-ON-DEE
BOP;NZ ;BAY OF PLENTY
BOR;FR ;LA TESTE DE BUCH
BOT;BEL;BOITSFORT
BOU;AUS;BOULIA
BOV;FR ;BOUVRON
BPA;SWE;BRO PARK
BRA;AUS;BOOROWA
BRB;AUS;BARRABA
BRC;AUS;BARCALDINE
BRE;GER;BREMEN
BRG;ENG;BRIGHTON
BRH;AUS;BROKEN HILL
BRI;AUS;BERRI
BRK;AUS;BOURKE
BRM;AUS;BROOME
BRW;AUS;BREWARRINA
BSM;FR ;BERCK-SUR-MER
BSP;FR ;BORDEAUX SPORTIVE
BSS;FR ;BEAUMONT-SUR-SARTHE
BTC;BAR;BARBADOS
BTH;AUS;BATHURST
BTN;AUS;BELTANA
BUD;HUN;BUDAPEST
BUG;FR ;BOUGUENAIS
BUI;ECU;HIPODROMO BUIJO
BUN;AUS;BUNGENDORE
BWL;AUS;BOWRAVILLE
BWR;AUS;BOWEN RIVER
CA ;ITY;CAGLIARI
CAB;ENG;CATTERICK BRIDGE
CAI;AUS;CAIRNS
CAN;AUS;CANOWINDRA
CAR;ENG;CARLISLE
CAU;AUS;CAULFIELD
CAV;FR ;CAVAILLON
CAY;JAM;CAYMANAS PARK
CAZ;FR ;CAZAUBON BARBOTAN THERMES
CBB;AUS;COONABARABRAN
CBC;AUS;COME-BY-CHANCE
CBG;FR ;CABOURG
CBL;AUS;COONAMBLE
CBR;AUS;COBAR MINERS'
CDL;FR ;CHATEAU-DU-LOIR
CDM;MAU;CHAMP DE MARS
CDN;AUS;CEDUNA
CES;AUS;CESSNOCK
CFT;AUS;CLIFTON
CGN;AUS;CUNGENA
CHA;FR ;CHALLANS
CHC;CHI;CLUB HIPICO DE CONCEPCION
CHD;ENG;CHELMSFORD CITY
CHE;ENG;CHESTER
CHF;FR ;CHATELAIS-L'HOSTELLERIE
CHI;FR ;CHINON
CHM;ENG;CHELTENHAM
CHN;AUS;CHINCHILLA
CHO;FR ;CHOLET
CHS;CHI;CLUB HIPICO DE SANTIAGO
CHT;FR ;CHATEAUBRIANT
CHU;CZE;CHUCHLE
CHW;ENG;CHEPSTOW
CHY;FR ;CHANTILLY
CJD;BRZ;CIDADE JARDIM
CKT;AUS;COOKTOWN
CKW;AUS;CROOKWELL
CLA;SAF;CLAIRWOOD
CLB;AUS;COOLABAH
CLC;AUS;COLLARENEBRI COMBINED
CLE;AUS;COLERAINE
CLG;AUS;CLONAGH
CLI;AUS;CLIFFORD PARK
CLN;IRE;CLONMEL
CLO;GER;CLOPPENBURG
CLP;AUS;CALLIOPE
CLR;AUS;CLERMONT
CLT;FR ;CERCY-LA-TOUR
CLU;FR ;CLUNY
CMB;AUS;CAMBOON
CMP;FR ;COMPIEGNE
CMW;AUS;CAMOOWEAL
CNA;AUS;CANBERRA ACTON
CNB;AUS;CANBERRA
CNM;FR ;CONDOM
CNO;ITY;CASARANO
CNS;FR ;CHATEAUNEUF SUR CHARENTE
COE;AUS;COEN
COF;AUS;COFF'S
COH;FR ;COMPIEGNE HIPPIQUE
COM;FR ;COMBREE
CON;AUS;CONDOBOLIN
COO;AUS;COOMA
COP;DEN;COPENHAGEN
COR;IRE;CORK
COT;AUS;COOTAMUNDRA
COU;FR ;COURTOMER
COV;ENG;COVENTRY
COW;AUS;COWRA
CP ;ITY;CAPALBIO
CPG;FR ;COMPEIGNE
CPL;AUS;CAPELLA
CPR;PAN;PRESIDENTE REMON
CR ;ITY;CORTONA
CRA;FR ;CRAON
CRD;AUS;CARINDA
CRF;AUS;CORFIELD
CRI;BRZ;CRISTAL
CRO;NZ ;CROMWELL
CRP;FR ;CARPENTRAS
CRR;FR ;CHARTRES
CSC;FR ;CHATILLON-SUR-CHALARONNE
CSM;FR ;CAGNES-SUR-MER
CSS;FR ;CHATEAUNEUF-SUR-SARTHE
CTM;ENG;CARTMEL
CTN;FR ;CASTELSARRASIN
CTR;FR ;CHATEAUROUX
CUE;AUS;CUE
CUN;AUS;CUNNAMULLA
CUR;IRE;CURRAGH
CUX;GER;CUXHAVEN
CVL;AUS;COLLINSVILLE
CVR;FR ;CASTERA-VERDUZAN
CYO;JPN;CHUKYO
DAJ;AUS;DAJARRA HACK
DAL;AUS;DALBY & NORTHERN DOWNS
DAM;NZ ;DAMARU
DAR;NZ ;DARGAVILLE
DAX;FR ;DAX
DBY;AUS;DERBY
DCH;AUS;DUCHESS HACK
DDR;AUS;DEDERANG
DEA;FR ;DEAUVILLE
DEG;AUS;DEAGON
DEN;AUS;DENILIQUIN
DEV;ENG;DEVON & EXETER
DGA;AUS;DONGARA
DHR;SPA;DOS HERMANAS
DIE;SWI;DIELSDORF
DIN;FR ;DINAN
DIR;AUS;DIRRANBANDI DIGGERS'
DLB;FR ;DIVONNE-LES-BAINS
DLV;COL;DE LA VILLA
DMN;AUS;DENMAN
DNG;AUS;DINGO
DNK;AUS;DUNKELD
DOB;GER;BAD DOBERAN
DOH;QA ;DOHA
DOL;ARG;HIPODROMO DE DOLORES
DON;ENG;DONCASTER
DOO;AUS;DOOMBEN
DOR;GER;DORTMUND
DOW;IRE;DOWNPATRICK
DPP;FR ;DIEPPE
DR ;IRE;DOWN ROYAL
DRB;SAF;DURBANVILLE
DRE;GER;DRESDEN
DRG;GER;DRENSTEINFURT
DRU;AUS;DROUIN
DRW;AUS;DARWIN
DRX;FR ;DREUX
DUA;AUS;DUARINGA
DUB;AUS;DUBBO
DUI;HOL;DUINDIGT
DUR;FR ;DURTAL
DUS;GER;DUSSELDORF
DWT;AUS;DEEPWATER
EAU;FR ;EAUZE
EBY;AUS;ESPERANCE BAY
ECH;AUS;ECHUCA
ECO;FR ;ECOMMOY
EDI;ENG;EDINBURGH
EF ;AUS;EAGLE FARM
EGM;NZ ;EGMONT
EGN;FR ;ENGHIEN
EHP;AUS;EDENHOPE
EID;AUS;EIDSVOLD
EIN;AUS;EINASLEIGH
ELB;FR ;ELBEUF
ELL;NZ ;ELLERSLIE
ELW;AUS;ELWICK
EMR;AUS;EMERALD
ENN;AUS;ENNGONIA
EPS;ENG;EPSOM
ERD;GER;ERDING
ERM;AUS;EROMANGA
ESK;AUS;ESK
EVR;FR ;EVRY
EVX;FR ;EVREUX
EWN;AUS;EWAN
EXE;ENG;EXETER
EXM;AUS;EXMOUTH
FAH;IRE;FAIRYHOUSE
FBL;FR ;FONTAINEBLEAU
FEH;SWI;FEHRALTORF
FEI;NZ ;FEILDING
FEN;FR ;FENEU
FEU;FR ;FEURS
FIN;AUS;FINDON
FIR;ITY;FIRENZE
FKN;ENG;FAKENHAM
FKS;JPN;FUKUSHIMA
FLE;AUS;FLEMINGTON
FLN;AUS;FLINTON
FLS;ENG;FFOS LAS
FOL;ENG;FOLKESTONE
FOR;AUS;FORBES
FOU;FR ;FOUGERES
FOX;NZ ;FOXTON
FPK;SAF;FLAMINGO PARK
FRA;SWI;FRAUENFELD
FRK;GER;FRANKFURT
FRO;GER;FRONTENHAUSEN
FTZ;AUS;FITZROY VALLEY
FUC;JPN;FUCHU
FUK;JPN;FUKUYAMA
FUN;JPN;FUNABASHI
FVW;SAF;FAIRVIEW
GAB;FR ;GABARRET
GAL;IRE;GALWAY
GAN;GER;GANGKOFEN
GAR;BAR;GARRISON
GAS;AUS;GASCOYNE
GAT;AUS;GATTON
GAW;AUS;GAWLER
GAY;AUS;GAYNDAH
GBG;SWE;GOTHENBURG
GBN;AUS;GULARGAMBONE
GBW;AUS;GUNBOWER
GCO;FR ;GUER-COETQUIDAN
GEE;AUS;GEELONG
GEM;FR ;GEMOZAC
GEU;AUS;GEURIE
GH ;GER;GELSENKIRCHEN-HORST
GHL;BEL;MONS-GHLIN
GHT;UAE;GHANTOOT RACING AND POLO CLUB
GIS;NZ ;GISBORNE
GLG;AUS;GILGANDRA
GLI;AUS;GLEN INNES
GLS;ENG;GREAT LEIGHS
GND;AUS;GUNDAGAI-ADELONG
GON;AUS;GOONDIWINDI
GOO;ENG;GOODWOOD
GOS;SAF;GOSFORTH PARK
GOT;GER;GOTHA
GOU;AUS;GOULBRUN
GOW;IRE;GOWRAN PARK
GPA;NZ ;GATE PA
GPE;FR ;GUEMENE-PENFAO
GPM;FR ;GRANVILLE-ST PAIR SUR MER
GRA;AUS;GRAFTON
GRD;AUS;GREGORY DOWNS
GRF;AUS;GRIFFITH
GRL;BEL;GROENENDAEL
GRN;AUS;GRENFELL
GRT;FR ;GRAMAT
GRV;SAF;GREYVILLE
GRW;AUS;GREAT WESTERN
GSG;FR ;GRENADE SUR GARONNE
GST;AUS;GOLD COAST
GTN;AUS;GERALDTON
GTW;AUS;GEORGETOWN
GUD;RUS;GUDERMES
GUE;FR ;GUERLESQUIN
GUL;AUS;GULGONG
GUN;AUS;GUNNEDAH
GUY;FR ;GUYANE
GVA;BRZ;GAVEA
GYM;AUS;GYMPIE
HAB;GER;HASSLOCH
HAK;JPN;HAKODATE
HAL;GER;HALLE
HAM;ENG;HAMILTON PARK
HAN;GER;HANNOVER
HAR;ARG;HIPODROMO ARGENTINO DE PALERMO
HAS;NZ ;HASTINGS
HAV;CUB;HAVANA
HAY;ENG;HAYDOCK PARK
HB ;NZ ;HAWKE'S BAY
HBG;GER;HAMBURG
HBL;AUS;HEBEL
HCH;CHI;HIPODROMO CHILE
HCK;AUS;HALLS CREEK
HCO;FR ;HIPPODROME CORSE
HDN;AUS;HALIDON
HEA;AUS;HEALESVILLE
HEI;GER;HEILIGENWALD
HER;ENG;HEREFORD
HEU;GER;HEUFELD
HEX;ENG;HEXHAM
HIL;AUS;HILLSTON
HIM;JPN;HIMEJI
HIP;MEX;HIPODROMO DE LAS AMERICAS
HKR;AUS;HAWKER
HLA;COL;HIPO LOS ANDES
HMH;AUS;HOME HILL
HMJ;AUS;HINNOMUNJE
HOB;AUS;HOBART
HOK;NZ ;HOKITIKA
HON;GER;HONZRATH
HOP;GER;HOPPEGARTEN
HRC;AUS;HAMILTON
HRD;AUS;HARDEN
HRK;AUS;HANGING ROCK
HSM;AUS;HORSHAM
HSN;JPN;HANSHIN
HTN;ENG;HUNTINGDON
HUH;AUS;HUGHENDEN
HUP;ENG;HURST PARK
HV ;HK ;HAPPY VALLEY
HYD;IND;HYDERABAD
HYE;FR ;HYERES
IKN;AUS;IRON KNOB
ILF;AUS;ILFRACOMBE
ILL;FR ;ILLIERS
INJ;AUS;INJUNE
INN;AUS;INNISFAIL
ISI;AUS;ISISFORD
ISM;FR ;ISIGNY-SUR-MER
ISP;AUS;IPSWICH
ISS;FR ;L'ISLE-SUR-SORGUE
IST;TUR;VELIEFENDI ISTANBUL
IWA;JPN;IWAMIZAWA
IZM;TUR;SIRINYER IZMIR
JAG;SWE;JAGERSRO
JAL;FR ;JALLAIS
JAR;FR ;JARNAC
JCH;AUS;JERICHO
JCK;AUS;JULIA CREEK
JEB;UAE;JEBEL ALI
JNC;AUS;JUNCTION
JOS;FR ;JOSSELIN
JTW;AUS;JAMESTOWN
JUA;MEX;JUAREZ
JUN;AUS;JUNDAH
KAB;GER;KARLSBAD
KAL;AUS;KALGOORLIE
KAN;JPN;KANAZAWA
KAS;JPN;KASAMATSU
KAW;JPN;KAWASAKI
KAZ;RUS;KAZAN
KBG;AUS;KEMBLA GRANGE
KBN;IRE;KILBEGGAN
KCT;AUS;KINGSCOTE
KCY;AUS;KILCOY
KEL;ENG;KELSO
KEM;ENG;KEMPTON PARK
KEN;SAF;KENILWORTH
KIE;GER;HOOKSEIL
KIL;IRE;KILLARNEY
KIM;AUS;KIMBA
KIS;AUS;KING ISLAND
KIT;JPN;KITAMI
KKR;KSA;KING KHALED RACECOURSE
KLA;DEN;KLAMPENBORG
KLM;AUS;KILMORE
KMA;JPN;KIMIIDERA
KNG;AUS;KATANNING
KNR;AUS;KUNUNURRA
KNU;AUS;KYNUNA
KOC;JPN;KOCHI
KOJ;AUS;KOJONUP
KOK;JPN;KOKURA
KOL;GER;KOLN
KRA;RUS;KRASNODAR
KRE;GER;KREFELD
KRG;AUS;KERANG
KRM;AUS;KRAMBACH
KTH;AUS;KATHERINE
KUR;NZ ;KUROW
KVY;CZE;KARLOVY VARY
KYN;AUS;KYNETON PARK
KYO;JPN;KYOTO
LAG;FR ;LANGON
LAS;SPA;LASARTE
LAU;AUS;LAURA
LAY;IRE;LAYTOWN
LBS;FR ;BORDEAUX LE BOUSCAT
LC ;COL;LOS COMUNEROS
LCA;FR ;LA CAPELLE
LCH;FR ;LONGCHAMP
LCK;AUS;LOCK
LCL;FR ;LE CROISE-LAROCHE
LCN;ENG;LINCOLN PARK
LCS;FR ;LA CHARTRE-SUR-LE-LOIR
LEB;GER;LEBACH
LEE;AUS;LEETON
LEI;ENG;LEICESTER
LEL;FR ;LE LUDE
LEO;IRE;LEOPARDSTOWN
LEQ;FR ;LE QUESNOY
LET;FR ;LE TOUQUET
LFB;FR ;LA FERTE BERNARD
LFD;AUS;LONGFORD
LFM;FR ;LA FERTE-MACE
LGA;FR ;LA GACILLY
LGB;FR ;LA GUERCHE-DE-BRETAGNE
LGF;FR ;LE-GRAND-FOUGERAY
LGN;FR ;LA GUERCHE-NEVERS
LGR;AUS;LAKE GRACE
LIB;FR ;LIBOURNE
LIG;FR ;LIGNIERES
LIM;IRE;LIMERICK
LIN;ENG;LINGFIELD
LIS;IRE;LISTOWEL
LIV;ENG;LIVERPOOL
LKH;AUS;LOCKHART
LLB;FR ;LE LOUROUX-BECONNAIS
LLD;FR ;LE LION D'ANGERS
LME;FR ;LE MAY-SUR-EVRE
LMH;AUS;LARRIMAH
LMJ;IRE;LIMERICK JUNCTION
LML;FR ;LA MARTYRE-LANDERNEAU
LMN;FR ;LE MANS
LMR;FR ;LE MERLERAULT
LND;FR ;LES ANDELYS
LNO;ITY;LIVORNO
LNZ;FR ;LANNEMEZAN
LOJ;FR ;LONGUE-JUMELLES
LOU;FR ;LOUDEAC
LP ;ARG;LA PLATA
LPE;FR ;LE PERTRE
LPH;FR ;LE PIN-AU-HARAS
LPM;URU;LAS PIEDRAS AT MARONAS
LPR;FR ;LESPARRE
LPX;ARG;LA PLATA
LR ;VEN;LA RINCONADA
LRA;AUS;LAURA
LRG;AUS;LIGHTNING RIDGE
LRP;FR ;LA ROCHE-POSAY
LRY;FR ;LA ROCHE-SUR-YONNE
LSO;FR ;LES SABLES-D'OLONNE
LSP;FR ;LE SAP
LTH;AUS;LOUTH
LTN;AUS;LAVERTON
LUC;FR ;LUCON
LUD;ENG;LUDLOW CLUB
LUX;FR ;LUXE
LUZ;SWI;LUZERN
LYO;FR ;LYON
LYP;FR ;LYON-PARILLY
LYV;FR ;LYON LA SOIE
MAB;AUS;MOURA
MAC;FR ;MACHECOUL
MAG;GER;MAGDEBURG
MAH;IND;MAHALAKSHMI
MAI;SWI;MAIENFELD
MAK;NZ ;MAKARAKA
MAM;FR ;MAMERS
MAP;FR ;MORTAGNE-AU-PERCHE
MAT;NZ ;MATAMATA
MAU;FR ;MAURON
MAW;NZ ;MANAWATU
MAX;AUS;MAXWELTON
